product_id,product_name,issuer_type,asset_class,strategy_type,channel,risk_level,product_type,liquidity_type,duration_days,benchmark,fee_rate,min_holding_amount,bond_weight,equity_weight,cash_weight,alternative_weight,credit_rating_focus,duration_bucket,open_date,status
SP0025,商品/黄金商品趋势样例025,银行理财子,商品/黄金,商品趋势,券商渠道,R4,封闭净值型,每月开放,1789,黄金商品篮子样例基准,0.0098,1000,0.1999,0.0983,0.075,0.6268,利率债为主,3Y+,2023-06-23,存续
SP0026,QDII/全球配置全球多资产样例026,银行理财子,QDII/全球配置,全球多资产,券商渠道,R3,开放式净值型,每季开放,1083,全球配置样例基准,0.0115,1000,0.215,0.3969,0.0996,0.2885,高等级信用债,1-3Y,2023-05-05,募集期
SP0027,养老目标/FOFFOF稳健样例027,保险资管,养老目标/FOF,FOF稳健,券商渠道,R3,定开净值型,持有期,1425,养老FOF复合样例基准,0.0101,100000,0.4496,0.2416,0.1243,0.1845,可转债/信用混合,3Y+,2023-03-10,观察期
SP0028,现金管理流动性管理样例028,券商资管,现金管理,流动性管理,银行渠道,R1,开放式净值型,每季开放,1752,7日年化现金管理样例基准,0.0081,1000000,0.0861,0.0048,0.9091,0.0,非信用主导,3Y+,2023-10-20,观察期
SP0029,纯债固收短债样例029,保险资管,纯债固收,短债,机构渠道,R2,封闭净值型,持有期,119,中债综合财富样例基准,0.0028,1000000,0.8638,0.0,0.1362,0.0,非信用主导,3-6M,2023-02-10,观察期
SP0030,固收+债券增强样例030,保险资管,固收+,债券增强,私行渠道,R3,开放式净值型,每月开放,155,固收增强复合样例基准,0.0186,10000,0.7053,0.1689,0.0717,0.054,中高等级信用债,3-6M,2024-01-12,观察期
SP0031,多资产风险平价样例031,保险资管,多资产,风险平价,机构渠道,R3,定开净值型,每周开放,70,股债商多资产样例基准,0.0044,1000000,0.3984,0.2967,0.147,0.1579,高等级信用债,0-3M,2023-03-31,存续
SP0032,权益增强红利增强样例032,券商资管,权益增强,红利增强,私行渠道,R4,开放式净值型,持有期,271,宽基权益增强样例基准,0.0069,10000,0.0685,0.7959,0.0608,0.0748,可转债/信用混合,6-12M,2024-01-19,观察期
SP0033,量化对冲CTA样例033,信托资管,量化对冲,CTA,银行渠道,R3,定开净值型,持有期,41,市场中性策略样例基准,0.0208,10000,0.3408,0.3619,0.1119,0.1854,高等级信用债,0-3M,2024-03-22,存续
SP0034,商品/黄金商品趋势样例034,保险资管,商品/黄金,商品趋势,私行渠道,R4,定开净值型,每季开放,243,黄金商品篮子样例基准,0.0041,100000,0.1588,0.1176,0.0649,0.6586,高等级信用债,6-12M,2024-05-10,募集期
SP0035,QDII/全球配置全球多资产样例035,保险资管,QDII/全球配置,全球多资产,券商渠道,R4,定开净值型,每月开放,49,全球配置样例基准,0.0172,1000,0.2365,0.4315,0.0664,0.2656,非信用主导,0-3M,2023-04-14,观察期
SP0036,养老目标/FOFFOF稳健样例036,公募基金,养老目标/FOF,FOF稳健,银行渠道,R2,开放式净值型,每日开放,148,养老FOF复合样例基准,0.0095,50000,0.4826,0.2388,0.1177,0.161,非信用主导,3-6M,2024-01-26,存续
SP0037,现金管理现金管理样例037,券商资管,现金管理,现金管理,私行渠道,R2,定开净值型,每月开放,393,7日年化现金管理样例基准,0.0172,1000000,0.0982,0.0099,0.8734,0.0185,利率债为主,1-3Y,2023-08-25,募集期
SP0038,纯债固收短债样例038,保险资管,纯债固收,短债,私行渠道,R2,封闭净值型,每月开放,41,中债综合财富样例基准,0.012,100000,0.8721,0.0311,0.0953,0.0015,高等级信用债,0-3M,2023-10-27,存续
SP0039,固收+债券增强样例039,公募基金,固收+,债券增强,线上渠道,R3,封闭净值型,每月开放,1674,固收增强复合样例基准,0.02,1,0.73,0.1461,0.0626,0.0613,高等级信用债,3Y+,2024-02-16,募集期
SP0040,多资产风险平价样例040,公募基金,多资产,风险平价,银行渠道,R3,定开净值型,每季开放,85,股债商多资产样例基准,0.0039,50000,0.4129,0.2653,0.1485,0.1733,非信用主导,0-3M,2024-01-19,存续
SP0041,权益增强指数增强样例041,银行理财子,权益增强,指数增强,私行渠道,R5,定开净值型,每日开放,872,宽基权益增强样例基准,0.0121,1000000,0.1076,0.7473,0.0362,0.1088,利率债为主,1-3Y,2023-12-08,募集期
SP0042,量化对冲CTA样例042,信托资管,量化对冲,CTA,线上渠道,R4,开放式净值型,每季开放,134,市场中性策略样例基准,0.0223,300000,0.3274,0.3643,0.121,0.1873,非信用主导,3-6M,2023-08-04,存续
SP0043,商品/黄金贵金属配置样例043,公募基金,商品/黄金,贵金属配置,银行渠道,R3,定开净值型,持有期,174,黄金商品篮子样例基准,0.0155,300000,0.1656,0.11,0.0863,0.6382,非信用主导,3-6M,2023-03-31,存续
SP0044,QDII/全球配置全球权益样例044,券商资管,QDII/全球配置,全球权益,私行渠道,R5,封闭净值型,持有期,142,全球配置样例基准,0.0084,1000,0.1899,0.4552,0.0603,0.2947,高等级信用债,3-6M,2023-08-18,存续
SP0045,养老目标/FOF目标日期样例045,信托资管,养老目标/FOF,目标日期,线上渠道,R2,定开净值型,每月开放,89,养老FOF复合样例基准,0.0098,1000000,0.4718,0.2716,0.1164,0.1402,高等级信用债,0-3M,2023-07-14,募集期
SP0046,现金管理现金管理样例046,券商资管,现金管理,现金管理,线上渠道,R1,封闭净值型,每季开放,1648,7日年化现金管理样例基准,0.0015,10000,0.09,0.0123,0.8978,0.0,高等级信用债,3Y+,2023-03-03,观察期
SP0047,纯债固收短债样例047,信托资管,纯债固收,短债,线上渠道,R2,定开净值型,持有期,1221,中债综合财富样例基准,0.0043,1000000,0.8205,0.0,0.1428,0.0367,中高等级信用债,3Y+,2024-02-16,存续
SP0048,固收+股债平衡样例048,银行理财子,固收+,股债平衡,私行渠道,R4,封闭净值型,每月开放,515,固收增强复合样例基准,0.0109,1000,0.6913,0.1446,0.0839,0.0802,可转债/信用混合,1-3Y,2023-03-03,募集期
SP0049,多资产目标波动样例049,保险资管,多资产,目标波动,机构渠道,R4,开放式净值型,每月开放,122,股债商多资产样例基准,0.0154,1,0.4328,0.2962,0.1197,0.1513,可转债/信用混合,3-6M,2024-05-10,存续
SP0050,权益增强红利增强样例050,公募基金,权益增强,红利增强,银行渠道,R5,开放式净值型,持有期,1244,宽基权益增强样例基准,0.0023,50000,0.0946,0.8122,0.0294,0.0638,中高等级信用债,3Y+,2024-02-16,观察期
SP0051,量化对冲市场中性样例051,信托资管,量化对冲,市场中性,机构渠道,R3,封闭净值型,持有期,301,市场中性策略样例基准,0.0146,1,0.3178,0.3388,0.1361,0.2072,可转债/信用混合,6-12M,2024-01-05,募集期
SP0052,商品/黄金黄金ETF联接样例052,信托资管,商品/黄金,黄金ETF联接,券商渠道,R3,定开净值型,每周开放,233,黄金商品篮子样例基准,0.0201,300000,0.1688,0.0657,0.1119,0.6536,高等级信用债,6-12M,2024-01-05,存续
SP0053,QDII/全球配置全球债券样例053,信托资管,QDII/全球配置,全球债券,机构渠道,R4,定开净值型,持有期,327,全球配置样例基准,0.0046,100000,0.2426,0.4473,0.0505,0.2595,利率债为主,6-12M,2023-10-27,观察期
SP0054,养老目标/FOF目标风险样例054,保险资管,养老目标/FOF,目标风险,私行渠道,R3,封闭净值型,每日开放,60,养老FOF复合样例基准,0.0055,100000,0.4842,0.2475,0.1215,0.1468,高等级信用债,0-3M,2023-07-07,观察期
SP0055,现金管理现金管理样例055,券商资管,现金管理,现金管理,券商渠道,R2,开放式净值型,持有期,351,7日年化现金管理样例基准,0.0073,1,0.0701,0.0211,0.8807,0.0281,高等级信用债,6-12M,2024-03-08,募集期
SP0056,纯债固收利率债样例056,信托资管,纯债固收,利率债,银行渠道,R3,定开净值型,每日开放,183,中债综合财富样例基准,0.011,10000,0.9014,0.0,0.0936,0.0049,高等级信用债,6-12M,2023-12-22,募集期
SP0057,固收+可转债增强样例057,公募基金,固收+,可转债增强,私行渠道,R3,定开净值型,每周开放,91,固收增强复合样例基准,0.0041,1000000,0.6914,0.141,0.0877,0.0799,可转债/信用混合,3-6M,2024-04-26,募集期
SP0058,多资产目标波动样例058,保险资管,多资产,目标波动,机构渠道,R4,开放式净值型,每周开放,1640,股债商多资产样例基准,0.0146,300000,0.4783,0.2831,0.0907,0.1479,利率债为主,3Y+,2023-10-13,观察期
SP0059,权益增强指数增强样例059,信托资管,权益增强,指数增强,机构渠道,R4,封闭净值型,每日开放,377,宽基权益增强样例基准,0.0118,1000000,0.1225,0.7976,0.009,0.0709,非信用主导,1-3Y,2023-08-18,观察期
SP0060,量化对冲市场中性样例060,保险资管,量化对冲,市场中性,券商渠道,R3,封闭净值型,每日开放,579,市场中性策略样例基准,0.012,10000,0.3531,0.349,0.1042,0.1937,利率债为主,1-3Y,2023-05-19,观察期
SP0061,商品/黄金贵金属配置样例061,公募基金,商品/黄金,贵金属配置,券商渠道,R3,封闭净值型,持有期,1148,黄金商品篮子样例基准,0.0018,1000,0.1886,0.1031,0.0538,0.6544,非信用主导,3Y+,2023-07-14,存续
SP0062,QDII/全球配置全球权益样例062,银行理财子,QDII/全球配置,全球权益,券商渠道,R4,开放式净值型,每周开放,309,全球配置样例基准,0.0124,1000,0.2235,0.4162,0.0914,0.2689,利率债为主,6-12M,2023-12-29,存续
SP0063,养老目标/FOFFOF稳健样例063,信托资管,养老目标/FOF,FOF稳健,线上渠道,R2,开放式净值型,每季开放,78,养老FOF复合样例基准,0.0193,1000,0.4752,0.2778,0.1178,0.1292,可转债/信用混合,0-3M,2023-04-21,存续
SP0064,现金管理流动性管理样例064,公募基金,现金管理,流动性管理,券商渠道,R2,封闭净值型,每日开放,101,7日年化现金管理样例基准,0.0058,1000000,0.1122,0.0,0.8576,0.0302,非信用主导,3-6M,2024-05-10,观察期
SP0065,纯债固收短债样例065,信托资管,纯债固收,短债,线上渠道,R2,定开净值型,每周开放,114,中债综合财富样例基准,0.0109,1,0.8429,0.0,0.1452,0.0119,可转债/信用混合,3-6M,2024-04-19,观察期
SP0066,固收+股债平衡样例066,信托资管,固收+,股债平衡,银行渠道,R3,封闭净值型,每季开放,38,固收增强复合样例基准,0.0129,50000,0.7107,0.1525,0.0909,0.0459,利率债为主,0-3M,2024-01-26,募集期
SP0067,多资产目标波动样例067,银行理财子,多资产,目标波动,机构渠道,R4,定开净值型,每日开放,314,股债商多资产样例基准,0.016,1000000,0.4334,0.28,0.1246,0.162,中高等级信用债,6-12M,2024-01-05,观察期
SP0068,权益增强主动权益样例068,信托资管,权益增强,主动权益,券商渠道,R5,定开净值型,持有期,357,宽基权益增强样例基准,0.0207,1000000,0.1207,0.7191,0.0561,0.104,高等级信用债,6-12M,2023-02-10,观察期
SP0069,量化对冲市场中性样例069,保险资管,量化对冲,市场中性,私行渠道,R3,开放式净值型,持有期,951,市场中性策略样例基准,0.0068,100000,0.3049,0.365,0.13,0.2001,利率债为主,1-3Y,2024-04-05,募集期
SP0070,商品/黄金商品趋势样例070,公募基金,商品/黄金,商品趋势,券商渠道,R4,开放式净值型,每月开放,1812,黄金商品篮子样例基准,0.0201,50000,0.2073,0.1002,0.0569,0.6356,利率债为主,3Y+,2023-02-24,观察期
SP0071,QDII/全球配置全球多资产样例071,保险资管,QDII/全球配置,全球多资产,银行渠道,R5,封闭净值型,每季开放,571,全球配置样例基准,0.006,50000,0.231,0.4341,0.0614,0.2735,非信用主导,1-3Y,2023-08-11,存续
SP0072,养老目标/FOF目标风险样例072,券商资管,养老目标/FOF,目标风险,线上渠道,R4,封闭净值型,每月开放,1660,养老FOF复合样例基准,0.0069,50000,0.4461,0.2738,0.1229,0.1572,高等级信用债,3Y+,2023-05-05,募集期
SP0073,现金管理流动性管理样例073,公募基金,现金管理,流动性管理,私行渠道,R1,开放式净值型,每季开放,49,7日年化现金管理样例基准,0.0158,1000,0.11,0.025,0.8339,0.0311,非信用主导,0-3M,2023-06-23,募集期
SP0074,纯债固收信用债样例074,保险资管,纯债固收,信用债,券商渠道,R2,开放式净值型,每周开放,1268,中债综合财富样例基准,0.0129,10000,0.894,0.0,0.106,0.0,利率债为主,3Y+,2023-01-27,募集期
SP0075,固收+可转债增强样例075,信托资管,固收+,可转债增强,银行渠道,R4,定开净值型,持有期,186,固收增强复合样例基准,0.0084,1000000,0.6977,0.1592,0.1052,0.0379,可转债/信用混合,6-12M,2024-03-01,募集期
SP0076,多资产风险平价样例076,公募基金,多资产,风险平价,私行渠道,R3,定开净值型,每日开放,120,股债商多资产样例基准,0.0052,100000,0.4298,0.2914,0.1406,0.1383,高等级信用债,3-6M,2023-08-04,存续
SP0077,权益增强指数增强样例077,券商资管,权益增强,指数增强,机构渠道,R5,封闭净值型,持有期,79,宽基权益增强样例基准,0.0138,1,0.0885,0.7793,0.0372,0.0951,可转债/信用混合,0-3M,2024-05-03,募集期
SP0078,量化对冲市场中性样例078,公募基金,量化对冲,市场中性,券商渠道,R4,封闭净值型,每月开放,276,市场中性策略样例基准,0.0048,10000,0.3383,0.3498,0.0872,0.2247,中高等级信用债,6-12M,2024-04-26,募集期
SP0079,商品/黄金商品趋势样例079,公募基金,商品/黄金,商品趋势,线上渠道,R4,定开净值型,每周开放,79,黄金商品篮子样例基准,0.0112,1000000,0.1722,0.0972,0.0557,0.6748,可转债/信用混合,0-3M,2024-01-19,存续
SP0080,QDII/全球配置全球权益样例080,银行理财子,QDII/全球配置,全球权益,机构渠道,R5,封闭净值型,每月开放,1088,全球配置样例基准,0.0061,1000,0.2326,0.3984,0.0605,0.3084,利率债为主,1-3Y,2023-10-06,存续
SP0081,养老目标/FOF目标风险样例081,保险资管,养老目标/FOF,目标风险,线上渠道,R3,封闭净值型,持有期,343,养老FOF复合样例基准,0.0108,1000,0.4765,0.2445,0.0977,0.1813,非信用主导,6-12M,2023-04-14,观察期
SP0082,现金管理现金管理样例082,信托资管,现金管理,现金管理,银行渠道,R2,定开净值型,持有期,48,7日年化现金管理样例基准,0.0162,1,0.1032,0.0012,0.895,0.0006,高等级信用债,0-3M,2023-02-10,存续
SP0083,纯债固收短债样例083,银行理财子,纯债固收,短债,银行渠道,R3,封闭净值型,每季开放,302,中债综合财富样例基准,0.0096,300000,0.8902,0.0,0.0964,0.0135,非信用主导,6-12M,2024-04-19,存续
SP0084,固收+债券增强样例084,银行理财子,固收+,债券增强,券商渠道,R4,定开净值型,每月开放,70,固收增强复合样例基准,0.0179,100000,0.7576,0.1132,0.0862,0.0431,非信用主导,0-3M,2023-02-17,观察期
SP0085,多资产股债商多资产样例085,银行理财子,多资产,股债商多资产,银行渠道,R3,开放式净值型,持有期,86,股债商多资产样例基准,0.0023,1000,0.4485,0.2603,0.1426,0.1486,中高等级信用债,0-3M,2024-02-09,存续
SP0086,权益增强红利增强样例086,银行理财子,权益增强,红利增强,银行渠道,R5,封闭净值型,每季开放,148,宽基权益增强样例基准,0.0044,50000,0.1101,0.8159,0.0057,0.0684,高等级信用债,3-6M,2024-05-10,存续
SP0087,量化对冲市场中性样例087,保险资管,量化对冲,市场中性,线上渠道,R4,定开净值型,每日开放,704,市场中性策略样例基准,0.0066,1000,0.3301,0.308,0.1392,0.2227,可转债/信用混合,1-3Y,2023-03-10,存续
SP0088,商品/黄金黄金ETF联接样例088,银行理财子,商品/黄金,黄金ETF联接,银行渠道,R4,封闭净值型,每周开放,50,黄金商品篮子样例基准,0.0021,1000000,0.1547,0.1149,0.0964,0.634,高等级信用债,0-3M,2024-02-16,观察期
SP0089,QDII/全球配置全球多资产样例089,公募基金,QDII/全球配置,全球多资产,线上渠道,R3,开放式净值型,持有期,1327,全球配置样例基准,0.0035,300000,0.2148,0.4285,0.062,0.2947,可转债/信用混合,3Y+,2023-05-05,存续
SP0090,养老目标/FOF目标日期样例090,公募基金,养老目标/FOF,目标日期,私行渠道,R3,开放式净值型,每季开放,614,养老FOF复合样例基准,0.0182,50000,0.5076,0.2307,0.1185,0.1432,中高等级信用债,1-3Y,2024-02-23,募集期
SP0091,现金管理现金管理样例091,保险资管,现金管理,现金管理,券商渠道,R1,定开净值型,每周开放,72,7日年化现金管理样例基准,0.0073,300000,0.115,0.0,0.885,0.0,可转债/信用混合,0-3M,2023-05-19,观察期
SP0092,纯债固收利率债样例092,银行理财子,纯债固收,利率债,线上渠道,R3,定开净值型,每周开放,1140,中债综合财富样例基准,0.0188,1000,0.8427,0.0,0.1327,0.0246,高等级信用债,3Y+,2023-09-29,存续
SP0093,固收+可转债增强样例093,信托资管,固收+,可转债增强,券商渠道,R2,定开净值型,每周开放,122,固收增强复合样例基准,0.0113,50000,0.7223,0.1489,0.0727,0.056,利率债为主,3-6M,2023-05-26,存续
SP0094,多资产目标波动样例094,券商资管,多资产,目标波动,机构渠道,R3,定开净值型,持有期,282,股债商多资产样例基准,0.0112,50000,0.485,0.2566,0.1089,0.1495,可转债/信用混合,6-12M,2024-04-05,募集期
SP0095,权益增强主动权益样例095,银行理财子,权益增强,主动权益,银行渠道,R5,定开净值型,持有期,224,宽基权益增强样例基准,0.0201,1000,0.1048,0.7487,0.0476,0.099,非信用主导,6-12M,2024-03-29,存续
SP0096,量化对冲CTA样例096,信托资管,量化对冲,CTA,银行渠道,R4,定开净值型,每月开放,73,市场中性策略样例基准,0.0139,50000,0.3368,0.3202,0.1475,0.1955,利率债为主,0-3M,2023-07-21,存续
SP0097,商品/黄金商品趋势样例097,公募基金,商品/黄金,商品趋势,券商渠道,R3,开放式净值型,持有期,59,黄金商品篮子样例基准,0.0152,100000,0.1642,0.1039,0.0787,0.6532,高等级信用债,0-3M,2023-11-24,募集期
SP0098,QDII/全球配置全球权益样例098,券商资管,QDII/全球配置,全球权益,券商渠道,R3,开放式净值型,每周开放,55,全球配置样例基准,0.014,1,0.2506,0.3944,0.0669,0.2881,中高等级信用债,0-3M,2023-12-22,观察期
SP0099,养老目标/FOF目标风险样例099,公募基金,养老目标/FOF,目标风险,银行渠道,R3,定开净值型,每周开放,62,养老FOF复合样例基准,0.0209,1,0.4787,0.2678,0.0767,0.1767,高等级信用债,0-3M,2024-02-09,观察期
SP0100,现金管理现金管理样例100,券商资管,现金管理,现金管理,私行渠道,R1,定开净值型,每日开放,258,7日年化现金管理样例基准,0.0174,10000,0.0968,0.0081,0.8951,0.0,中高等级信用债,6-12M,2023-09-22,观察期
SP0101,纯债固收利率债样例101,券商资管,纯债固收,利率债,机构渠道,R3,封闭净值型,每月开放,81,中债综合财富样例基准,0.0014,1000000,0.8551,0.0181,0.1268,0.0,利率债为主,0-3M,2024-01-19,募集期
SP0102,固收+可转债增强样例102,保险资管,固收+,可转债增强,银行渠道,R3,封闭净值型,每日开放,30,固收增强复合样例基准,0.018,1,0.7086,0.1191,0.0805,0.0918,可转债/信用混合,0-3M,2023-03-31,存续
SP0103,多资产风险平价样例103,保险资管,多资产,风险平价,券商渠道,R3,定开净值型,每季开放,81,股债商多资产样例基准,0.0075,10000,0.4342,0.2738,0.1311,0.1609,非信用主导,0-3M,2023-03-10,募集期
SP0104,权益增强指数增强样例104,银行理财子,权益增强,指数增强,券商渠道,R4,定开净值型,持有期,35,宽基权益增强样例基准,0.0013,300000,0.0711,0.7921,0.0773,0.0595,可转债/信用混合,0-3M,2024-05-10,观察期
SP0105,量化对冲市场中性样例105,公募基金,量化对冲,市场中性,券商渠道,R3,封闭净值型,每日开放,134,市场中性策略样例基准,0.0193,10000,0.3572,0.3118,0.1121,0.219,可转债/信用混合,3-6M,2023-08-25,观察期
SP0106,商品/黄金黄金ETF联接样例106,公募基金,商品/黄金,黄金ETF联接,线上渠道,R3,定开净值型,持有期,48,黄金商品篮子样例基准,0.0167,1000000,0.2055,0.0632,0.1064,0.6249,可转债/信用混合,0-3M,2024-05-03,观察期
SP0107,QDII/全球配置全球债券样例107,信托资管,QDII/全球配置,全球债券,券商渠道,R3,封闭净值型,持有期,923,全球配置样例基准,0.0182,300000,0.2308,0.4267,0.0766,0.2659,高等级信用债,1-3Y,2023-05-19,募集期
SP0108,养老目标/FOFFOF稳健样例108,券商资管,养老目标/FOF,FOF稳健,私行渠道,R4,开放式净值型,每日开放,154,养老FOF复合样例基准,0.008,100000,0.4726,0.2835,0.1225,0.1214,非信用主导,3-6M,2023-10-13,观察期
